epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,107270,1.2544,0.98561,1.32347,0.57226,0.34845,0.37927,0.16443,2.03828,2.00695,1.87249,0.000983598,0.000983598,0.000983598
43,108769,1.25716,0.98534,1.32722,0.50485,0.35723,0.34588,0.15562,2.0449,2.15494,1.89883,0.00096693,0.00096693,0.00096693
44,110241,1.2652,0.99838,1.34381,0.52506,0.35013,0.36551,0.16234,2.05955,2.0737,1.91509,0.000950262,0.000950262,0.000950262
45,111705,1.24657,0.97364,1.31857,0.52592,0.34888,0.35928,0.15293,2.09825,2.08128,1.96229,0.000933593,0.000933593,0.000933593
46,113255,1.23852,0.96409,1.31352,0.55435,0.37526,0.36461,0.1524,2.16885,2.13294,1.96331,0.000916925,0.000916925,0.000916925
47,114815,1.22645,0.93824,1.30143,0.551,0.36946,0.3799,0.16519,2.0295,1.98712,1.86283,0.000900257,0.000900257,0.000900257
48,119393,1.21197,0.91421,1.28942,0.55032,0.35285,0.37137,0.16735,2.06836,2.10843,1.891,0.000883588,0.000883588,0.000883588
49,124168,1.21168,0.93722,1.29809,0.57556,0.36094,0.38215,0.17602,1.9938,1.96453,1.84568,0.00086692,0.00086692,0.00086692
50,126084,1.20672,0.92085,1.28602,0.57011,0.37436,0.38441,0.17518,2.045,2.02504,1.89302,0.000850252,0.000850252,0.000850252
51,127987,1.19726,0.90678,1.28101,0.56622,0.36319,0.39116,0.17343,2.05379,2.06436,1.88387,0.000833583,0.000833583,0.000833583
52,130908,1.20037,0.91924,1.29062,0.57976,0.37139,0.39283,0.18123,1.98125,1.98219,1.85921,0.000816915,0.000816915,0.000816915
53,139363,1.19906,0.91361,1.2838,0.5683,0.36045,0.38378,0.17128,2.01473,1.96949,1.88302,0.000800247,0.000800247,0.000800247
54,143063,1.17214,0.89635,1.2686,0.61097,0.37023,0.39427,0.17939,2.07268,1.97693,1.91284,0.000783578,0.000783578,0.000783578
55,161022,1.20529,0.92537,1.28558,0.57326,0.36949,0.3824,0.17001,2.04441,2.02892,1.8738,0.00076691,0.00076691,0.00076691
56,163618,1.15743,0.9152,1.2701,0.51455,0.3684,0.35694,0.15639,2.08506,2.09391,1.94498,0.000750242,0.000750242,0.000750242
57,166537,1.16489,0.88345,1.25939,0.59891,0.36932,0.39543,0.17977,2.02621,1.94913,1.82934,0.000733573,0.000733573,0.000733573
58,169014,1.17285,0.90581,1.27522,0.50462,0.38321,0.37493,0.16923,2.05573,2.00043,1.87233,0.000716905,0.000716905,0.000716905
